asof,currency,index_price,expiry,T,F,a,b,rho,m,s,rmse_volpts,n_quotes,used,reason
2026-07-27T06:00:03.179866+00:00,BTC,65409.78,2026-07-27,0.000228,65404.21,,,,,,,0,False,expiry too near
2026-07-27T06:00:03.179866+00:00,BTC,65409.78,2026-07-28,0.002968,65408.89,,,,,,,0,False,expiry too near
2026-07-27T06:00:03.179866+00:00,BTC,65409.78,2026-07-29,0.005708,65423.41,,,,,,24.081,17,False,butterfly arbitrage in fit
2026-07-27T06:00:03.179866+00:00,BTC,65409.78,2026-07-30,0.008447,65440.99,,,,,,29.951,20,False,butterfly arbitrage in fit
2026-07-27T06:00:03.179866+00:00,BTC,65409.78,2026-07-31,0.011187,65439.53,,,,,,33.717,22,False,butterfly arbitrage in fit
2026-07-27T06:00:03.179866+00:00,BTC,65409.78,2026-08-07,0.030365,65492.82,,,,,,0.282,19,False,butterfly arbitrage in fit
2026-07-27T06:00:03.179866+00:00,BTC,65409.78,2026-08-14,0.049543,65548.09,,,,,,0.107,14,False,butterfly arbitrage in fit
2026-07-27T06:00:03.179866+00:00,BTC,65409.78,2026-08-28,0.087899,65654.96,-0.08865175,0.1739106,0.090526,0.116823,0.570363,1.076,49,True,
2026-07-27T06:00:03.179866+00:00,BTC,65409.78,2026-09-25,0.164612,65895.57,-0.18846509,0.25643032,-0.215923,-0.087729,0.833184,0.539,47,True,
2026-07-27T06:00:03.179866+00:00,BTC,65409.78,2026-12-25,0.413927,66577.24,-0.13415859,0.29203104,-0.504567,-0.283354,0.782453,0.402,54,True,
2026-07-27T06:00:03.179866+00:00,BTC,65409.78,2027-03-26,0.663242,67239.29,,,,,,0.11,51,False,butterfly arbitrage in fit
2026-07-27T06:00:03.179866+00:00,BTC,65409.78,2027-06-25,0.912557,67962.32,,,,,,0.051,37,False,butterfly arbitrage in fit
2026-07-27T06:00:05.713239+00:00,ETH,1963.67,2026-07-27,0.000228,1963.59,,,,,,,0,False,expiry too near
2026-07-27T06:00:05.713239+00:00,ETH,1963.67,2026-07-28,0.002968,1964.12,,,,,,,0,False,expiry too near
2026-07-27T06:00:05.713239+00:00,ETH,1963.67,2026-07-29,0.005708,1964.02,,,,,,42.874,18,False,butterfly arbitrage in fit
2026-07-27T06:00:05.713239+00:00,ETH,1963.67,2026-07-30,0.008447,1964.19,,,,,,22.433,18,False,butterfly arbitrage in fit
2026-07-27T06:00:05.713239+00:00,ETH,1963.67,2026-07-31,0.011187,1964.76,-0.0144695,0.06716792,-0.109053,-0.01118,0.256512,0.78,21,True,
2026-07-27T06:00:05.713239+00:00,ETH,1963.67,2026-08-07,0.030365,1964.4,-0.09121864,0.15950396,0.024922,0.030613,0.616889,0.103,13,True,
2026-07-27T06:00:05.713239+00:00,ETH,1963.67,2026-08-14,0.049543,1964.92,-0.22162147,0.25971289,-0.253508,-0.225576,0.92895,0.054,12,True,
2026-07-27T06:00:05.713239+00:00,ETH,1963.67,2026-08-28,0.087899,1965.12,-0.02574998,0.11557526,-0.118191,-0.023569,0.407345,0.551,33,True,
2026-07-27T06:00:05.713239+00:00,ETH,1963.67,2026-09-25,0.164612,1968.64,-0.08306887,0.18613169,-0.179621,-0.074376,0.685283,0.895,39,True,
2026-07-27T06:00:05.713239+00:00,ETH,1963.67,2026-12-25,0.413927,1981.31,-0.28964678,0.3632519,-0.419378,-0.466363,1.245231,0.286,41,True,
2026-07-27T06:00:05.713239+00:00,ETH,1963.67,2027-03-26,0.663242,2001.56,,,,,,0.176,39,False,butterfly arbitrage in fit
2026-07-27T06:00:05.713239+00:00,ETH,1963.67,2027-06-25,0.912557,2021.35,-0.62202121,0.7796688,-0.693809,-1.351622,1.636985,0.055,29,True,
2026-07-28T06:00:03.161513+00:00,BTC,63388.63,2026-07-28,0.000228,63385.52,,,,,,,0,False,expiry too near
2026-07-28T06:00:03.161513+00:00,BTC,63388.63,2026-07-29,0.002968,63383.37,,,,,,,0,False,expiry too near
2026-07-28T06:00:03.161513+00:00,BTC,63388.63,2026-07-30,0.005708,63398.83,,,,,,17.136,18,False,butterfly arbitrage in fit
2026-07-28T06:00:03.161513+00:00,BTC,63388.63,2026-07-31,0.008447,63410.7,,,,,,31.232,26,False,butterfly arbitrage in fit
2026-07-28T06:00:03.161513+00:00,BTC,63388.63,2026-08-07,0.027625,63451.37,,,,,,0.205,19,False,butterfly arbitrage in fit
2026-07-28T06:00:03.161513+00:00,BTC,63388.63,2026-08-14,0.046804,63492.27,,,,,,0.258,15,False,butterfly arbitrage in fit
2026-07-28T06:00:03.161513+00:00,BTC,63388.63,2026-08-28,0.08516,63585.96,,,,,,0.917,48,False,butterfly arbitrage in fit
2026-07-28T06:00:03.161513+00:00,BTC,63388.63,2026-09-25,0.161872,63798.37,-0.21594972,0.26476186,-0.130063,-0.005234,0.900306,0.697,45,True,
2026-07-28T06:00:03.161513+00:00,BTC,63388.63,2026-12-25,0.411187,64458.48,-0.2330748,0.34396093,-0.455878,-0.315157,0.969709,0.32,54,True,
2026-07-28T06:00:03.161513+00:00,BTC,63388.63,2027-03-26,0.660502,65119.32,,,,,,0.161,51,False,butterfly arbitrage in fit
2026-07-28T06:00:03.161513+00:00,BTC,63388.63,2027-06-25,0.909817,65842.32,-0.62259883,0.55700687,-0.469058,-0.539089,1.585124,0.049,37,True,
2026-07-28T06:00:06.842623+00:00,ETH,1881.09,2026-07-28,0.000228,1880.88,,,,,,,0,False,expiry too near
2026-07-28T06:00:06.842623+00:00,ETH,1881.09,2026-07-29,0.002968,1881.43,,,,,,,0,False,expiry too near
2026-07-28T06:00:06.842623+00:00,ETH,1881.09,2026-07-30,0.005708,1881.3,,,,,,25.302,30,False,butterfly arbitrage in fit
2026-07-28T06:00:06.842623+00:00,ETH,1881.09,2026-07-31,0.008447,1881.75,,,,,,24.056,28,False,butterfly arbitrage in fit
